software,notes
Bing Bar,
Blio,
Kobo,
Norton Internet Security,
PDF Complete Special Edition,
Zinio Reader 4,
Skype™ 6.14,
Foxit PhantomPDF,
Bonjour,
Microsoft Office,
Microsoft Security Client MUI Language Pack,
Microsoft Security Client,
Microsoft Antimalware Service Multi-Language Pack,
Microsoft Antimalware,
HP Sure Recover,
HP Sure Run,
HP Drive Encryption,
HP Device Access Manager,
HP Client Security Manager,
Microsoft Security Essentials,
HP Sure Click,
HP WorkWise,
HP JumpStart Apps,
HP JumpStart Bridge,
HP JumpStart Launch,
